x-before,y-before,z-before
113.01926,14.168837,534.06134
114.93545,49.976562,559.936
115.6751,42.246735,536.64844
162.85666,1.2500001,569.3482
113.01926,-14.168837,534.06134
115.6751,-42.246735,536.64844
112.1404,54.367176,568.2829
115.55473,1.2515087,578.63074
120.32651,14.272021,578.4023
90.68896,6.4338613,616.31085
91.20347,12.423212,615.1203
85.40954,10.738975,614.5977
82.38608,10.537452,614.1334
73.03693,8.567756,612.82526
66.86026,10.599834,610.95905
60.19902,5.4212255,610.80115
65.688065,3.1290157,612.6171
84.55452,3.4095454,616.0231
88.9735,8.306671,615.68286
58.84652,6.0191364,599.8184
66.34042,3.256833,608.87036
59.385784,13.241299,598.7919
61.632835,9.614433,613.307
63.947002,11.462308,599.8369
51.358364,5.312859,605.3031
57.58296,11.6849575,608.2983
99.22743,6.7975426,604.5335
94.6791,6.750761,608.32367
96.98425,15.765186,611.23224
97.71972,12.663196,611.84924
74.97925,13.426671,615.5339
78.16659,13.806057,616.1673
64.48409,13.506908,602.9157
110.822075,7.94326,573.01196
99.82213,3.6127305,604.898
78.20162,3.9309027,602.5967
91.41882,14.92104,618.4223
104.246124,9.612998,608.8127
85.764015,3.5123537,611.92
114.67328,12.220809,604.9907
121.123405,11.703635,605.2363
120.25379,14.424917,608.70685
110.83962,15.486979,604.4544
97.19535,3.4977255,613.37006
97.56101,9.602642,612.3668
91.749016,3.5343125,612.71436
115.12706,29.218119,587.08386
124.51711,-1.2500001,593.3231
124.78338,19.193018,604.305
123.35743,19.504608,596.97546
121.792755,22.247139,596.78906
51.358364,-5.312859,605.3031
